id,name,category,description,graphicsFile,isDefault,buildCost,constructionDays,maxRevenue,maintenanceCost,decayRate,jobsProvided,energyProvided,energyRequired,educationProvided,foodProvided,housingProvided,healthcareProvided,culture_impact,culture_attenuation,affordability_impact,affordability_attenuation,resilience_impact,resilience_attenuation,environment_impact,environment_attenuation,noise_impact,noise_attenuation,safety_impact,safety_attenuation,civicScore,InvestmentScore,Normalized Score,
fire_station,Fire Station,civic,Emergency response services that improve city-wide safety,assets/buildings/civic/fire_station.png,TRUE,300,4,0,4,0.0075,8,,15,,,2,3,3,6,-3,12,15,12,2,12,-19,12,15,9,4.8,-4.83,3,very-poor
lushpark,Park,civic,Green space providing environmental and recreational benefits,assets/buildings/civic/lushpark.png,TRUE,150,2,2,4,0.099,1,,2,,,,,4,4,-5,12,2,4,6,4,4,2,7,2,12.3,-4.38,3,very-poor
library,Library,civic,Public library providing educational and cultural resources,assets/buildings/civic/library.png,TRUE,350,3,6,2,0.004,6,,12,,,,,6,6,2,12,3,5,0,1,2,1,2,1,8.4,4.15,11,very-poor
public_pool,Public Pool,civic,Community recreation and fitness facility,assets/buildings/civic/public_pool.png,TRUE,250,3,10,6,0.015,2,,9,,,,,2,4,2,12,0,2,-5,2,-3,2,-4,3,-6.4,5.75,12,very-poor
art_museum,Art Museum,civic,Cultural institution showcasing fine arts and exhibitions,assets/buildings/civic/art_museum.png,TRUE,1500,7,40,12,0.05,10,,20,,5,,,9,7,-4,12,-8,12,-3,5,2,1,0,1,0.6,6.47,13,very-poor
bird_sanctuary,Bird Sanctuary,civic,Protected natural habitat for local and migratory bird species,assets/buildings/civic/bird_sanctuary.png,TRUE,575,6,25,8,0.008,6,,4,,,,,6,3,-3,12,3,10,2,8,-1,3,0,2,3.7,10.70,16,very-poor
corporate_marvel,Corporate World Headquarters,commercial,A marvel level building! There could be some shady dealings going down but the pay is incredible.,assets/buildings/commercial/corporate_marvel.png,TRUE,18000,21,800,35,0.095,250,,180,,35,,,7,5,-40,12,-10,10,-15,10,-4,2,-2,2,-20.6,14.04,19,very-poor
grand_department_store,Grand Department Store,commercial,Large retail establishment offering diverse merchandise and shopping experiences,assets/buildings/commercial/grand_department_store.png,TRUE,2300,11,175,12,0.01,25,,28,,,,,4,5,-5,12,-8,10,-8,10,-1,2,0,2,-5.4,25.61,29,poor
community_theatre,Community Theatre,commercial,Local performing arts venue hosting plays and concerts and cultural events,assets/buildings/commercial/community_theatre.png,TRUE,370,5,35,1,0.0077,15,,6,,,,,10,3,-2,12,2,6,1,3,-1,1,0,3,5.6,33.28,36,poor
neighborhood_grocery,Neighborhood Grocery,commercial,Mid-sized grocery store serving the local community,assets/buildings/commercial/neighborhood_grocery.png,TRUE,550,5,65,8,0.0086,6,,25,,50,,,7,3,1,12,4,6,-2,3,1,1,2,2,7.2,37.50,40,fair
large_grocer,Large Grocery Store,commercial,Full-service supermarket with extensive food and household selections,assets/buildings/commercial/large_grocer.png,TRUE,1500,11,180,17,0.0125,20,,40,,80,,,2,3,3,12,3,12,-5,5,-1,2,3,3,1.7,39.17,41,fair
corner_store,Cornerstore,commercial,Convenient neighborhood shop for everyday essentials,assets/buildings/commercial/corner_store.png,TRUE,320,2,60,1,0.006,3,,9,,35,,,2,2,2,12,5,8,-1,2,1,1,2,1,6.1,66.89,65,good
taqueria,Taqueria,commercial,A great little place I know,assets/buildings/commercial/taqueria.png,TRUE,275,2,60,4,0.011,8,,12,,26,,,3,2,1,12,1,7,-1,1,1,1,2,1,4.8,73.51,71,good
bakery,Bakery,commercial,Artisan bakery offering fresh bread and pastries and baked goods,assets/buildings/commercial/bakery.png,TRUE,250,3,55,4,0.01,5,,13,,28,,,3,2,1,12,1,7,-1,1,1,1,2,1,4.8,73.72,71,good
ice_cream_parlor,Ice Cream Parlor,commercial,Sweet shop serving ice cream and sundaes and frozen treats,assets/buildings/commercial/ice_cream_parlor.png,TRUE,225,3,50,3,0.0065,4,,11,,20,,,5,2,1,12,0,7,-1,1,1,11,2,1,5.1,75.75,73,good
barbershop,Barbershop,commercial,Traditional barbershop providing haircuts and grooming services,assets/buildings/commercial/barbershop.png,TRUE,240,2,70,3,0.005,4,,7,,,,,6,3,2,12,1,7,-1,1,1,1,2,1,6.4,101.39,95,excellent
farmers_market,Farmers Market,commercial,Local food distribution center,assets/buildings/commercial/farmers_market.png,TRUE,125,2,40,3,0.008,5,,6,,30,,,3,2,3,12,4,7,6,1,1,1,2,1,13.5,107.18,100,excellent
elementary_school,Elementary School,education,Primary education for children ages 5-13,assets/buildings/education/elementary_school.png,TRUE,175,2,0,4,0.004,12,,15,20,,,,8,8,2,12,2,5,-3,3,5,1,1,2,8.3,-8.31,0,very-poor
high_school,High School,education,Secondary education for teenagers ages 14-18,assets/buildings/education/high_school.png,TRUE,600,3,0,8,0.008,24,,25,28,,,,12,10,3,12,4,6,-6,4,-3,1,3,3,2,-4.83,3,very-poor
trade_school,Trade School,education,Vocational training center teaching practical job skills and trades,assets/buildings/education/trade_school.png,TRUE,2600,14,125,18,0.042,55,,110,49,,,,7,12,1,12,5,7,-9,5,-12,1,2,4,-10.8,14.39,20,poor
art_school_marvel,Art School Marvel,education,A marvel level building! A true show stopper and world renowned for producing best in class cutting edge art. Center of the international art scene.,assets/buildings/education/art_school_marvel.png,TRUE,15000,24,750,40,0.0105,220,,250,55,,,,15,11,-25,12,-1,3,-15,7,-2,1,2,5,-10,17.10,22,poor
art_school,Art School,education,A great place to get your creative career going,assets/buildings/education/art_school.png,TRUE,2100,16,550,15,0.01,42,,75,41,,,,13,7,-10,12,1,3,-12,6,-1,1,3,4,-1.8,92.06,87,excellent
coal_plant,Coal Plant,energy,A dirty source of energy that pollutes,assets/buildings/energy/coal_plant.png,TRUE,2400,6,160,35,0.025,50,300,0,,,,,-15,9,4,12,6,12,-35,12,-17,4,-12,8,-25,18.54,23,poor
solar_farm,Solar Farm,energy,Renewable energy generation facility,assets/buildings/energy/solar_farm.png,TRUE,600,2,40,1,0.002,1,50,0,,,,,1,2,8,12,11,12,19,12,0,1,-2,2,10.3,23.68,28,poor
natural_gas_plant,Natural Gas Plant,energy,Cleaner than coal but still fossil fuel,assets/buildings/energy/natural_gas_plant.png,TRUE,2800,9,220,20,0.045,18,500,0,,,,,-8,8,6,12,7,12,-22,12,-9,3,-10,7,-14.4,24.90,29,poor
hospital,Large Hospital,healthcare,Emergency medical and extended stay hospital care for the masses,assets/buildings/healthcare/hospital.png,TRUE,1800,12,40,17,0.033,80,,95,,,,150,5,7,-3,12,12,12,-11,10,-18,10,13,10,-0.6,4.51,11,very-poor
dentist,Dentist,healthcare,Dental clinic providing oral health care and tooth maintenance,assets/buildings/healthcare/dentist.png,TRUE,675,4,40,15,0.011,12,,14,,,,30,1,2,-2,12,2,2,-2,2,1,1,7,7,3.8,13.37,19,very-poor
medical_offices,Medical Offices,healthcare,Primary care facilities with general practitioners and specialists,assets/buildings/healthcare/medical_offices.png,TRUE,925,8,60,16,0.02,35,,21,,,,51,1,3,-1,12,4,4,-5,4,1,1,10,9,4.1,17.01,22,poor
massage_parlor,Massage Parlor,healthcare,Wellness center offering therapeutic massage and relaxation services,assets/buildings/healthcare/massage_parlor.png,TRUE,415,3,45,2,0.006,5,,7,,,,22,4,2,-1,12,1,2,-1,2,1,1,6,3,7,37.59,40,fair
cottage,Cottage,housing,Small family home with 2 bedrooms,assets/buildings/housing/cottage.png,TRUE,250,1,15,1,0.002,0,,2,,,2,,1,1,1,12,0,1,-1,1,1,1,0,1,1.3,20.40,25,poor
warehouse_lofts,Warehouse Lofts,housing,Converted industrial space offering modern urban living,assets/buildings/housing/warehouse_lofts.png,TRUE,1290,8,105,18,0.036,2,,50,,,28,,6,3,2,12,1,2,-3,2,0,1,1,1,3.6,23.73,28,poor
nine_story_apartment,9 Story Apartments,housing,High-rise residential building with multiple housing units,assets/buildings/housing/nine_story_apartment.png,TRUE,1900,9,180,33,0.061,4,,75,,,56,,5,2,7,12,5,6,-9,3,-5,2,2,2,0.3,26.52,30,poor
apartment_complex,Apartment Complex,housing,Multi-family housing with 8 bedrooms,assets/buildings/housing/apartment_complex.png,TRUE,635,2,60,9,0.021,1,,35,,,12,,1,2,2,12,1,2,-3,2,-2,1,1,1,-1.1,28.70,32,poor
seven_story_apartment,7 Story Apartments,housing,Mid-rise apartment building providing affordable urban housing,assets/buildings/housing/seven_story_apartment.png,TRUE,1325,7,150,27,0.051,3,,65,,,44,,4,2,6,12,4,5,-7,3,-4,2,2,2,0.9,32.15,35,poor
town_block,Town Block,housing,Dense residential development with townhomes and apartments,assets/buildings/housing/town_block.png,TRUE,750,3,90,15,0.031,2,,45,,,20,,5,2,4,12,3,3,-4,3,-3,1,1,2,1.8,35.37,38,poor
five_story_apartment,5 Story Apartments,housing,Medium-density apartment building in residential neighborhoods,assets/buildings/housing/five_story_apartment.png,TRUE,990,5,120,21,0.041,2,,55,,,32,,4,2,5,12,2,4,-5,3,-3,1,2,2,0.8,35.00,38,poor
brewery,Brewery,industrial,Craft beverage production facility,assets/buildings/industrial/brewery.png,TRUE,1100,6,95,31,0.065,15,,60,,10,,,7,3,-1,12,-3,5,-9,3,-3,3,-10,3,-10.3,19.86,24,poor
basic_warehouse,Basic Warehouse,industrial,Storage and distribution facility for goods and materials,assets/buildings/industrial/basic_warehouse.png,TRUE,700,2,42,4,0.03,9,,15,,,,,1,2,-2,12,-1,2,-4,2,-1,1,-3,3,-6.1,19.22,24,poor
skate_park,Skate Park,recreation,A great place to skate and hang out!,assets/buildings/recreation/skate_park.png,TRUE,235,1,0,1,0.005,0,,1,,,,,8,4,-1,12,0,3,-1,1,-7,4,-6,4,-3.8,-1.55,6,very-poor
